Coleccion	Descripcion	imagen	Coleccion tag
Colección Fundación Televisa		COL_FUNDACION_TELEVISA.jpg	Colección Fundación Televisa
Fondo Fundación Televisa			Fondo Fundación Televisa
Fondo Juan Guzmán 	"Archivo que perteneció al fotoperiodista Juan Guzmán [Hans Gutmann, Colonia, Alemania, 1911 – México D. F., 1982] quien, tras salir de Alemania, fotografió desde el bando republicano la Guerra Civil Española y se exilió en México a partir de 1939, donde trabajó activamente hasta finales de la década de los sesenta en diversas publicaciones nacionales e internacionales. Al finalizar 1939 fue contratado por el periódico Novedades, posteriormente, trabajó para las revistas ilustradas Así, Sucesos para todos, Hoy, Tiempo y Mañana, entre otras. A partir de 1946 publicó como corresponsal mexicano en las revistas estadounidenses Time y Life. Asimismo, realizó encargos para instituciones públicas y empresas privadas, reproducción de obras y retratos de artistas plásticos y de personajes públicos. En 1947 participó en la exposición Palpitaciones de la vida nacional. México visto por los fotógrafos de prensa.
La Fundación Televisa resguarda la mayor parte del archivo fotográfico de Juan Guzmán desde agosto de 2006. Más de doscientos mil negativos e impresiones en formatos diversos integran un acervo visual representativo de la vida social política y cultural de México de 1940 a 1970.
"	FONDO_JUAN_GUZMAN.jpg	Fondo Juan Guzmán 
Fondo Rutilo Patiño 	"En el año 2008 Fundación Televisa adquirió el archivo fotográfico de Rutilo Patiño (Jaral del Progreso 1880- 1969) este fondo que integra aproximadamente 20,000 fotografías lo hemos organizado en tres grandes categorías: la primera se refiere a los retratos que Patiño realizó en su estudio captando escenas y acontecimientos de relevancia familiar. En la segunda categoría descubrimos a un Rutilo documentalista de su propia comunidad, en esta fase se encuentran imágenes fuera de estudio, testigo de sucesos trascendentes para el pueblo; el registro de los espacios emblemáticos de la región, la visita de personajes relevantes y la vida laboral y social en Jaral. Finalmente se encuentra una porción significativa de fotos de filiación: corpus de imágenes con la función de tramitar los diversos documentos de identidad a lo largo de la vida. 
Rutilo Patiño se devela como un personaje multifacético que combina el ejercicio fotográfico con una vida intensa de comerciante, prestamista y agricultor. La obra de este fotógrafo jaralense posee una atracción singular debido a su extraordinaria capacidad creativa y lúdica al momento de recrear escenas visuales que la distancia temporal y espacial no han logrado envejecer. Personaje singular y multifacético que durante años promovió el cine, el teatro y por supuesto, quien hereda al día de hoy la crónica visual más rica y genial de Jaral del Progreso, Guanajuato.
"	FONDO_RUTILO_PATINO.jpg	Fondo Rutilo Patiño 
Fondo Juan Cachú 		FONDO_JUAN_CACH.jpg	Fondo Juan Cachú 
Fondo Pascual Espinoza		FONDO_PASCUAL_ESPINOZA.jpg	Fondo Pascual Espinoza
Colección Paul Strand		COL_PAUL_STRAND.jpg	Colección Paul Strand
Colección Ned Scott		COL_NED_SCOTT.jpg	Colección Ned Scott
Colección Gabriel Figueroa		COL_GABRIEL_FIGUEROA.jpg	Colección Gabriel Figueroa
Colección Bernard Plossu		COL_BERNARD_PLOSSU.jpg	Colección Bernard Plossu
Fondo Formatos, Procesos y Funciones			Fondo Formatos, Procesos y Funciones
Fondo División Fílmica		FONDO_DIVISION_FILMICA.jpg	Fondo División Fílmica
Fondo Filmoteca Noticieros Televisa			Fondo Filmoteca Noticieros Televisa
Fondo Revista Lucha Libre		FONDO_REVISTA_LUCHA_LIBRE.jpg	Fondo Revista Lucha Libre
Fondo Revista Sólo Futbol		FONDO_REVISTA_SOLO_FUTBOL.jpeg	Fondo Revista Sólo Futbol
Colección Manuel Álvarez Bravo		COL_ALVAREZ_BRAVO.jpg	Colección Manuel Álvarez Bravo
Colección Centro Cultural Arte Contemporáneo		COL_CONTEMPORANEO.jpg	Colección Centro Cultural Arte Contemporáneo
